
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[92]  4.220e-07 1.540e-08 4.447e-10      0.000e+00
hr[93]  1.629e-06 5.931e-08 1.712e-09      5.774e-09
hr[94]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[95]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[96]  3.716e-05 0.000e+00 0.000e+00      0.000e+00
hr[97]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[98]  6.098e-04 0.000e+00 0.000e+00      0.000e+00
hr[99]  1.173e-04 0.000e+00 0.000e+00      0.000e+00
hr[100] 7.692e-04 0.000e+00 0.000e+00      0.000e+00
hr[101] 1.651e-03 0.000e+00 0.000e+00      0.000e+00
hr[102] 1.030e-04 0.000e+00 0.000e+00      0.000e+00
hr[103] 6.377e-04 0.000e+00 0.000e+00      0.000e+00
hr[104] 6.363e-05 0.000e+00 0.000e+00      0.000e+00
hr[105] 1.870e-04 0.000e+00 0.000e+00      0.000e+00
hr[106] 2.078e-05 0.000e+00 0.000e+00      0.000e+00
hr[107] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[108] 3.010e-04 0.000e+00 0.000e+00      0.000e+00
hr[109] 1.653e-02 0.000e+00 0.000e+00      0.000e+00
hr[110] 5.742e-03 0.000e+00 0.000e+00      0.000e+00
hr[111] 4.161e-05 7.680e-07 2.217e-08      1.688e-07
hr[112] 6.499e-04 2.447e-05 7.063e-07      5.685e-06
hr[113] 1.098e-06 6.726e-08 1.942e-09      0.000e+00
hr[114] 4.225e-07 6.130e-09 1.770e-10      0.000e+00
hr[115] 1.579e-06 5.146e-08 1.486e-09      0.000e+00
hr[116] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[117] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[118] 3.716e-05 0.000e+00 0.000e+00      0.000e+00
hr[119] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[120] 6.098e-04 0.000e+00 0.000e+00      0.000e+00
hr[121] 1.173e-04 0.000e+00 0.000e+00      0.000e+00
hr[122] 7.692e-04 0.000e+00 0.000e+00      0.000e+00
