Year,Leg,gSSMU,biomass,cv,mean.density.gm2,median.density.gm2,nmi.count
2010,1,4,NA,NA,NA,NA,0
2010,2,3,10525713.96,325.1405256,24.93795894,2.553322522,60
2010,2,2,929775.0543,218.1126672,14.09305263,4.449033482,122
2010,2,1,441470.637,363.1893517,9.109248864,1.517723423,191
2010,2,4,NA,NA,NA,NA,0
2011,1,3,8724006.574,148.5406902,20.66927893,11.16697773,422
2011,1,2,7023496.4,167.6903315,106.4585503,46.91820225,510
2011,1,1,3334355.858,220.6921456,68.80067387,19.20017315,248
2011,1,4,3858044.848,81.16828029,41.14633386,41.14633386,2
2011,2,3,25872295.72,212.3776706,61.29771822,9.873021252,48
2011,2,2,4399479.327,238.8175794,66.68504755,9.169154351,8
2011,2,1,712490.6156,223.3065374,14.70144057,3.439303288,220
2011,2,4,15991647.19,136.514384,170.5521009,75.19722374,22
2012,1,3,143972.3479,91.03049111,0.34110527,0.276265154,26
2012,1,2,71075.19663,694.8580067,1.077321318,0.109282845,151
2012,1,1,99318.42557,60.92608143,2.049323737,2.172767418,5
2012,1,4,NA,NA,NA,NA,0
2014,1,3,515736.7509,693.335545,1.221904943,0.201742304,160
2014,1,2,306971.6955,754.2043052,4.652919263,0.194169228,324
2014,1,1,6348340.151,330.259697,130.9908417,0.223262159,155
2014,1,4,75361.49253,317.7313407,0.803735896,0.05501636,40
2015,1,3,124698.1762,303.5252227,0.295440101,0.02774718,152
2015,1,2,88701.30743,750.6013818,1.344488851,0.033036514,199
2015,1,1,176393.8578,529.2189164,3.639688383,0.068814545,195
2015,1,4,NA,NA,NA,NA,0
