SPECIES_CODE,Source,AssignedSSMU,CalendarYear,Month,TotalCatch
KRI,C1,APBSW,2000,4,4
KRI,C1,APBSW,2000,6,54
KRI,C1,APBSW,2000,7,1037
KRI,C1,APBSW,2000,8,5124
KRI,C1,APBSW,2000,9,305
KRI,C1,APBSW,2001,1,397
KRI,C1,APBSW,2001,2,27
KRI,C1,APBSW,2001,3,21
KRI,C1,APBSW,2001,4,5
KRI,C1,APBSW,2001,5,44
KRI,C1,APBSW,2001,6,2365
KRI,C1,APBSW,2001,7,887
KRI,C1,APBSW,2002,1,319
KRI,C1,APBSW,2002,5,11
KRI,C1,APBSW,2003,2,42
KRI,C1,APBSW,2003,3,196
KRI,C1,APBSW,2003,5,122
KRI,C1,APBSW,2004,1,11
KRI,C1,APBSW,2004,2,3
KRI,C1,APBSW,2004,4,224
KRI,C1,APBSW,2004,6,2
KRI,C1,APBSW,2004,7,164
KRI,C1,APBSW,2005,3,41
KRI,C1,APBSW,2005,5,6
KRI,C1,APBSW,2006,3,11
KRI,C1,APBSW,2006,5,2275
KRI,C1,APBSW,2006,6,9056
KRI,C1,APBSW,2006,7,2058
KRI,C1,APBSW,2006,8,29
KRI,C1,APBSW,2006,10,32
KRI,C1,APBSW,2007,2,3
KRI,C1,APBSW,2007,3,35
KRI,C1,APBSW,2007,4,413
KRI,C1,APBSW,2007,6,112
KRI,C1,APBSW,2009,3,238
KRI,C1,APBSW,2009,5,469
KRI,C1,APBSW,2009,11,3
KRI,C1,APBSW,2010,2,28
KRI,C1,APBSW,2010,3,2820
KRI,C1,APBSW,2010,4,10374
KRI,C1,APBSW,2010,5,3506
KRI,C1,APBSW,2010,6,28570
KRI,C1,APBSW,2010,7,21623
KRI,C1,APBSW,2010,8,14324
KRI,C1,APBSW,2010,9,5118
KRI,C1,APBSW,2011,1,55
KRI,C1,APBSW,2011,4,4
KRI,C1,APBSW,2011,12,11363
KRI,C1,APBSW,2012,1,200
KRI,C1,APBSW,2012,3,1261
KRI,C1,APBSW,2012,4,4678
KRI,C1,APBSW,2012,5,3356
KRI,C1,APBSW,2012,6,7777
KRI,C1,APBSW,2012,7,29
KRI,C1,APBSW,2012,10,63
KRI,C1,APBSW,2012,11,6
KRI,C1,APBSW,2013,1,2045
KRI,C1,APBSW,2013,2,17654
KRI,C1,APBSW,2013,3,28548
KRI,C1,APBSW,2013,4,19960
KRI,C1,APBSW,2013,5,20535
KRI,C1,APBSW,2013,6,21106
KRI,C1,APBSW,2013,12,1000
KRI,C1,APBSW,2014,1,1032
KRI,C1,APBSW,2014,2,4651
KRI,C1,APBSW,2014,3,8533
KRI,C1,APBSW,2014,4,25625
KRI,C1,APBSW,2014,5,12130
KRI,C1,APBSW,2014,12,1010
KRI,C1,APBSW,2015,1,5652
KRI,C1,APBSW,2015,2,319
KRI,C1,APBSW,2015,3,16695
KRI,C1,APBSW,2015,4,28165
KRI,C1,APBSW,2015,5,20146
KRI,C1,APBSW,2015,12,3643
KRI,C1,APDPE,1980,12,1101
KRI,C1,APDPE,1981,1,641
KRI,C1,APDPE,1981,2,144
KRI,C1,APDPE,1981,11,66
KRI,C1,APDPE,1981,12,495
KRI,C1,APDPE,1982,2,309
KRI,C1,APDPE,1982,3,14
KRI,C1,APDPE,1982,4,0
KRI,C1,APDPE,1982,11,1
KRI,C1,APDPE,1983,12,1366
KRI,C1,APDPE,1984,1,7647
KRI,C1,APDPE,1984,2,721
KRI,C1,APDPE,1984,3,977
KRI,C1,APDPE,1984,12,18
KRI,C1,APDPE,1985,1,885
KRI,C1,APDPE,1985,2,2950
KRI,C1,APDPE,1985,11,128
KRI,C1,APDPE,1985,12,316
KRI,C1,APDPE,1986,1,3449
KRI,C1,APDPE,1986,2,7168
KRI,C1,APDPE,1986,3,47
KRI,C1,APDPE,1986,11,151
KRI,C1,APDPE,1986,12,401
KRI,C1,APDPE,1987,1,5387
KRI,C1,APDPE,1987,2,3557
KRI,C1,APDPE,1987,3,2126
KRI,C1,APDPE,1987,4,351
KRI,C1,APDPE,1987,12,1
KRI,C1,APDPE,1988,1,6790
KRI,C1,APDPE,1988,2,2051
KRI,C1,APDPE,1988,3,846
KRI,C1,APDPE,1988,12,1125
KRI,C1,APDPE,1989,1,1379
KRI,C1,APDPE,1989,2,3619
KRI,C1,APDPE,1989,3,258
KRI,C1,APDPE,1989,4,3942
KRI,C1,APDPE,1989,12,312
KRI,C1,APDPE,1990,1,7249
KRI,C1,APDPE,1990,2,1125
KRI,C1,APDPE,1990,4,2761
KRI,C1,APDPE,1990,12,85
KRI,C1,APDPE,1991,1,5271
KRI,C1,APDPE,1991,2,1096
KRI,C1,APDPE,1991,3,1504
KRI,C1,APDPE,1991,4,315
KRI,C1,APDPE,1991,12,25
KRI,C1,APDPE,1992,1,4819
KRI,C1,APDPE,1992,2,3063
KRI,C1,APDPE,1992,3,1028
KRI,C1,APDPE,1992,4,98
KRI,C1,APDPE,1993,1,217
KRI,C1,APDPE,1993,2,282
KRI,C1,APDPE,1993,3,30
KRI,C1,APDPE,1994,1,508
KRI,C1,APDPE,1994,3,195
KRI,C1,APDPE,1994,4,6
KRI,C1,APDPE,1995,1,121
KRI,C1,APDPE,1995,2,142
KRI,C1,APDPE,1995,3,1800
KRI,C1,APDPE,1995,5,582
KRI,C1,APDPE,1995,12,384
KRI,C1,APDPE,1996,1,119
KRI,C1,APDPE,1996,3,276
KRI,C1,APDPE,1996,4,470
KRI,C1,APDPE,1996,5,927
KRI,C1,APDPE,1996,6,1899
KRI,C1,APDPE,1996,7,60
KRI,C1,APDPE,1996,12,4
KRI,C1,APDPE,1997,1,202
KRI,C1,APDPE,1997,2,1001
KRI,C1,APDPE,1997,3,1039
KRI,C1,APDPE,1997,4,1708
KRI,C1,APDPE,1997,5,10265
KRI,C1,APDPE,1997,6,1395
