"SSMU","Area (km2)","gSSMU","Area fraction"
"APBSE",28814.6900118305,1,0.56533195555836
"APBSW",22154.8151232032,1,0.43466804444164
"APEI",36407.4131271641,2,0.528277346781169
"APDPE",16554.0930577647,2,0.240202519425903
"APDPW",15955.7270619576,2,0.231520133792929
"APPA",441639.715002596,3,1
"APE",63331.0037015365,4,0.628920557198318
"APW",37366.9349755837,4,0.371079442801682
