YEAR,PROJECT,SPECIES,DATE,WT,AGE,
1987-88,COPA,ADPE,1/26/1988,3650,86.45901639,
1987-88,COPA,ADPE,1/26/1988,3100,86.45901639,
1987-88,COPA,ADPE,1/26/1988,3100,86.45901639,
1987-88,COPA,ADPE,1/26/1988,3250,86.45901639,
1987-88,COPA,ADPE,1/26/1988,3050,86.45901639,
1987-88,COPA,ADPE,1/26/1988,3200,86.45901639,
1987-88,COPA,ADPE,1/27/1988,4050,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3050,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3400,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3300,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3200,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3200,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3200,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3050,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3000,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3650,87.45901639,
1987-88,COPA,ADPE,1/27/1988,3250,87.45901639,
1987-88,COPA,ADPE,1/28/1988,4150,88.45901639,
1987-88,COPA,ADPE,1/28/1988,4200,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3750,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3350,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3100,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3050,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3250,88.45901639,
1987-88,COPA,ADPE,1/28/1988,2750,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3200,88.45901639,
1987-88,COPA,ADPE,1/28/1988,4000,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3250,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3100,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3150,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3650,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3300,88.45901639,
1987-88,COPA,ADPE,1/28/1988,2200,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3500,88.45901639,
1987-88,COPA,ADPE,1/28/1988,2800,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3000,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3250,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3650,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3150,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3450,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3000,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3100,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3100,88.45901639,
1987-88,COPA,ADPE,1/28/1988,2800,88.45901639,
1987-88,COPA,ADPE,1/28/1988,3150,88.45901639,
1987-88,COPA,ADPE,1/29/1988,3250,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3100,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2600,89.45901639,
1987-88,COPA,ADPE,1/29/1988,4000,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2450,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3900,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3500,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3900,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3950,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3600,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2950,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2700,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3200,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2950,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3850,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3350,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3000,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3600,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3650,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3200,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2800,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3650,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3300,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3000,89.45901639,
1987-88,COPA,ADPE,1/29/1988,4050,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3550,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3000,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3250,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3700,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2950,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,4050,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3250,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3500,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3800,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3000,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3600,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3450,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2700,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3650,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3500,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3500,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3550,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3300,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2700,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3650,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2800,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3100,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3600,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3500,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3300,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3050,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3400,89.45901639,
1987-88,COPA,ADPE,1/29/1988,2900,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3150,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3650,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3000,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3500,89.45901639,
1987-88,COPA,ADPE,1/29/1988,3200,89.45901639,
1987-88,COPA,ADPE,1/30/1988,4800,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2700,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3050,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2850,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3950,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3700,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3750,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2950,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3450,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3400,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2700,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3450,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3000,90.45901639,
1987-88,COPA,ADPE,1/30/1988,4400,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3500,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3900,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3750,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3550,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3550,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3100,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3000,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3400,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3450,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3550,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3750,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3100,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3100,90.45901639,
1987-88,COPA,ADPE,1/30/1988,4150,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3600,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3050,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2950,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3400,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3200,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2950,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3800,90.45901639,
1987-88,COPA,ADPE,1/30/1988,4250,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3500,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3850,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3400,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3000,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3050,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3800,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2800,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3200,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3900,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3800,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3300,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3900,90.45901639,
1987-88,COPA,ADPE,1/30/1988,4000,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3600,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3650,90.45901639,
1987-88,COPA,ADPE,1/30/1988,4050,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3350,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3500,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3500,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3950,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3600,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2650,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3000,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3350,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3700,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3850,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3000,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3600,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2500,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2900,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2900,90.45901639,
1987-88,COPA,ADPE,1/30/1988,2800,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3200,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3500,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3100,90.45901639,
1987-88,COPA,ADPE,1/30/1988,3500,90.45901639,
1987-88,COPA,ADPE,2/2/1988,3000,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3450,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3350,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4150,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3350,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4350,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2650,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4200,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4200,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3300,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3600,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2500,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4450,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3100,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2750,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3900,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4500,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3850,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3100,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3000,93.45901639,
1987-88,COPA,ADPE,2/2/1988,4000,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3650,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3700,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3400,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3400,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2700,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2900,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3450,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3100,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2800,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2900,93.45901639,
1987-88,COPA,ADPE,2/2/1988,3300,93.45901639,
1987-88,COPA,ADPE,2/2/1988,2950,93.45901639,
1987-88,COPA,ADPE,2/3/1988,3500,94.45901639,
