YEAR,PROJECT,SPECIES,DATE,E1_WT,E1_VOL,E2_WT,E2_VOL
1987-88,COPA,ADPE,NA,122,112.1870131,120,106.3665009
1987-88,COPA,ADPE,NA,106,99.11726899,104,94.47028992
1987-88,COPA,ADPE,NA,100,101.9175828,NA,NA
1987-88,COPA,ADPE,NA,110,99.86391245,109,99.236352
1987-88,COPA,ADPE,NA,109,99.5825664,NA,NA
1987-88,COPA,ADPE,NA,112,104.400085,110,105.0900895
1987-88,COPA,ADPE,NA,109,98.25350246,105,94.80456806
1987-88,COPA,ADPE,NA,130,116.2891756,124,113.0113454
1987-88,COPA,ADPE,NA,116,102.6210125,116,104.6271375
1987-88,COPA,ADPE,NA,125,113.6016922,116,105.0850688
1987-88,COPA,ADPE,NA,126,114.5685151,121,110.3848166
1987-88,COPA,ADPE,NA,116,105.9119432,115,102.1890186
1987-88,COPA,ADPE,NA,115,104.400085,114,103.0839644
1987-88,COPA,ADPE,NA,121,106.6343864,114,105.47328
1987-88,COPA,ADPE,NA,108,97.28616397,98,87.17513728
1987-88,COPA,ADPE,NA,105,95.39712,104,93.70798643
1987-88,COPA,ADPE,NA,106,97.93428685,105,93.8448
1987-88,COPA,ADPE,NA,113,106.8672,111,100.4764324
1987-88,COPA,ADPE,NA,113,105.1917696,111,98.4532055
1987-88,COPA,ADPE,NA,118,107.17696,115,106.24768
1987-88,COPA,ADPE,NA,131,119.2729641,127,113.0994115
1987-88,COPA,ADPE,NA,99,89.624832,99,76.1739264
1987-88,COPA,ADPE,NA,83,79.5370752,79,74.36222464
1987-88,COPA,ADPE,NA,113,103.944702,108,100.6223954
1987-88,COPA,ADPE,NA,127,116.4239396,112,104.6347008
1987-88,COPA,ADPE,NA,135,125.9927736,125,114.3304745
1987-88,COPA,ADPE,NA,128,120.1888,124,114.3069737
1987-88,COPA,ADPE,NA,114,108.7338757,112,105.5579075
1987-88,COPA,ADPE,NA,135,121.203307,119,104.0576348
1987-88,COPA,ADPE,NA,117,109.7196088,115,107.4048492
1987-88,COPA,ADPE,NA,110,98.16907162,109,100.5307392
1987-88,COPA,ADPE,NA,107,99.6282327,96,90.59311206
1987-88,COPA,ADPE,NA,132,123.4308096,123,113.2621332
1987-88,COPA,ADPE,NA,115,107.6926484,109,98.22730291
1987-88,COPA,ADPE,NA,120,112.6966912,105,97.8799657
1988-89,COPA,ADPE,11/2/1988,116,105.7763267,108,99.2894976
1988-89,COPA,ADPE,11/11/1988,130,117.9128305,123,113.1026944
1988-89,COPA,ADPE,11/11/1988,108,97.15036262,99,88.20102758
1988-89,COPA,ADPE,11/14/1988,106,95.9993856,100,90.98190592
1988-89,COPA,ADPE,11/3/1988,149,134.042688,143,130.538304
1988-89,COPA,ADPE,11/2/1988,119,106.7769206,110,100.0950333
1988-89,COPA,ADPE,11/1/1988,103,93.69444762,100,91.30840934
1988-89,COPA,ADPE,11/1/1988,113,101.4320655,110,105.5071872
1988-89,COPA,ADPE,11/1/1988,116,104.7814548,108,97.4457216
1988-89,COPA,ADPE,11/2/1988,96,86.50470298,92,81.792
1988-89,COPA,ADPE,11/3/1988,110,99.5836887,103,94.42785792
1988-89,COPA,ADPE,11/3/1988,109,95.27215616,100,89.89056
1988-89,COPA,ADPE,11/18/1988,119,110.0501176,108,100.05408
