1997,8,7.68E-01
1997,9,1.22E-01
1997,10,-5.95E-01
1997,11,-1.90E+00
1997,12,-8.36E-01
1998,1,4.13E-01
1998,2,3.90E-01
1998,3,7.36E-01
1998,4,1.93E+00
1998,5,-3.81E-02
1998,6,1.03E+00
1998,7,1.45E+00
1998,8,9.04E-01
1998,9,-1.22E-01
1998,10,4.00E-01
1998,11,8.17E-01
1998,12,1.44E+00
1999,1,9.99E-01
1999,2,4.56E-01
1999,3,1.80E-01
1999,4,9.49E-01
1999,5,1.64E+00
1999,6,-1.32E+00
1999,7,3.16E-01
1999,8,4.19E-02
1999,9,-1.21E-02
1999,10,1.65E+00
1999,11,9.01E-01
1999,12,1.78E+00
2000,1,1.27E+00
2000,2,6.20E-01
2000,3,1.33E-01
2000,4,2.33E-01
2000,5,1.13E+00
2000,6,1.17E-01
2000,7,5.86E-02
2000,8,-6.74E-01
2000,9,-1.85E+00
2000,10,3.47E-01
2000,11,-1.54E+00
2000,12,-1.29E+00
2001,1,-4.71E-01
2001,2,-2.65E-01
2001,3,-5.55E-01
2001,4,5.15E-01
2001,5,-2.62E-01
2001,6,3.86E-01
2001,7,-9.28E-01
2001,8,9.10E-01
2001,9,1.16E+00
2001,10,1.28E+00
2001,11,9.96E-01
2001,12,1.47E+00
2002,1,7.47E-01
2002,2,1.33E+00
2002,3,-1.82E+00
2002,4,1.65E-01
2002,5,-2.80E+00
2002,6,-1.11E+00
2002,7,-5.91E-01
2002,8,-9.94E-02
2002,9,-8.65E-01
2002,10,-2.56E+00
2002,11,-9.24E-01
2002,12,1.31E+00
2003,1,-9.88E-01
2003,2,-3.57E-01
2003,3,-1.88E-01
2003,4,2.24E-01
2003,5,3.85E-01
2003,6,-7.75E-01
2003,7,7.27E-01
2003,8,6.78E-01
2003,9,-3.23E-01
2003,10,-2.49E-02
2003,11,-7.12E-01
2003,12,-1.32E+00
2004,1,8.07E-01
2004,2,-1.18E+00
2004,3,4.32E-01
2004,4,1.51E-01
2004,5,4.60E-01
2004,6,1.20E+00
2004,7,1.47E+00
2004,8,-7.12E-02
2004,9,2.54E-01
2004,10,-4.25E-02
2004,11,-2.42E-01
2004,12,-9.73E-01
2005,1,-1.29E-01
2005,2,1.24E+00
2005,3,1.58E-01
2005,4,3.55E-01
2005,5,-2.97E-01
2005,6,-1.43E+00
2005,7,-2.52E-01
2005,8,2.28E-01
2005,9,2.41E-01
2005,10,3.10E-02
2005,11,-5.51E-01
2005,12,-1.97E+00
2006,1,3.39E-01
2006,2,-2.11E-01
2006,3,5.01E-01
2006,4,-1.69E-01
2006,5,1.70E+00
2006,6,4.38E-01
2006,7,9.26E-01
2006,8,-1.73E+00
2006,9,-3.24E-01
2006,10,8.79E-01
2006,11,1.01E-01
2006,12,6.38E-01
2007,1,-8.28E-02
2007,2,7.49E-02
2007,3,-5.70E-01
2007,4,-1.04E+00
2007,5,-6.12E-01
2007,6,-1.20E+00
2007,7,-2.63E+00
2007,8,-1.08E-01
2007,9,3.05E-02
2007,10,-4.34E-01
2007,11,-9.84E-01
2007,12,1.93E+00
