[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
            beta[1]      beta[2]     beta[3]     beta[4]     beta[5]      beta[6] mulogsummer[1,1]
[17,]         20.05722         34.17694         31.14996 0.9663796       8.596260  1.9233422
[18,]         22.40228         32.49636         25.79927 0.9456697       7.718054  0.4810869
[19,]         26.29726         36.31283         34.58826 0.9113181       8.683289  1.8593568
[20,]         23.70003         31.36774         28.88369 0.9957103       9.041045  1.7057539
[21,]         24.74788         34.73830         35.48774 0.8891426       9.201143  0.4074751
[22,]         24.05277         28.64175         33.15776 0.8440718       8.138404  0.8282397
[23,]         31.43331         41.16047         29.62678 0.9234803       8.902115  1.8757251
[24,]         21.36976         27.34457         25.73106 0.9775018       8.880348  1.9544867
[25,]         21.31626         30.40862         34.46615 0.8761945       8.623026  1.1300951
[26,]         25.03637         32.93155         35.42018 0.9968448       8.422474  0.6291819
[27,]         17.60535         31.09278         26.72670 0.9827235       7.329470  0.5149551
[28,]         19.43521         31.11721         22.06087 1.0317477       6.153464  1.7655651
[29,]         19.52698         36.76706         36.77430 0.8484590       8.909262  1.3640035
[30,]         30.47507         32.56346         24.02016 1.0296961       7.991614  1.8813919
[31,]         27.12902         38.91573         23.38637 0.9526600       9.112192  1.4225582
[32,]         30.81708         41.17672         26.06132 0.9141818       9.175300  0.7950270
[33,]         21.54504         38.83404         39.54502 0.9084916       9.057576  0.8306390
[34,]         22.00951         32.15206         32.03478 0.9393082       8.498371  1.4609639
[35,]         21.78033         31.68437         27.58528 0.9671262       7.679310  0.7145248
[36,]         20.47402         39.35975         27.70606 0.8974826       8.688188  0.4829060
[37,]         23.55965         42.72065         34.13003 1.0706276       9.106043  1.7974004
[38,]         24.86516         35.13150         30.39297 1.0188139       8.978665  1.7535702
[39,]         19.53883         21.86920         23.28545 0.9015820       7.396774  1.4409902
[40,]         27.17886         37.43186         32.59150 0.9742838       8.883086  1.3079715
[41,]         26.13277         30.31038         27.39384 0.9436434       7.476361  0.9797124
[42,]         18.51018         30.55570         38.02763 0.9192137       8.794480  1.3101832
[43,]         22.90984         32.07145         28.22974 0.9213586       8.822883  1.7497947
[44,]         26.26305         32.51980         29.60109 0.9435885       8.399428  0.9703863
[45,]         22.49694         31.61043         31.78459 0.9169278       9.212108  1.5851186
[46,]         34.42772         35.93680         36.49617 1.0644698       8.987334  1.5719212
[47,]         18.80246         37.68289         29.20564 0.9724664       8.281632  1.8377352
[48,]         31.39196         33.92178         41.25128 1.0037708       8.636794  0.8873519

[[2]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
           beta[1]       beta[2]     beta[3]      beta[4]     beta[5]      beta[6] mulogsummer[1,1]
 [1,] -0.135122782 -0.0837408812 -0.15991622 -0.071311099 -0.19810548 -0.120776046         26.77989
 [2,] -0.092176025 -0.2254096938 -0.47454160  0.477220013 -0.18908302 -0.142590516         30.59652
 [3,]  0.013688861 -0.0656969161 -0.45628832  0.492665907 -0.26038150 -0.075492104         33.01053
 [4,] -0.162309821  0.0211374469 -0.39827749  0.349077153 -0.18094727 -0.117703027         34.77752
 [5,] -0.118396705  0.0091677134 -0.34092419  0.159648286 -0.07427669 -0.081551244         26.62898
 [6,] -0.228611373 -0.1516684449 -0.61276109  0.353638723 -0.24843420  0.114706606         28.35144
 [7,] -0.249629496  0.0196879790 -0.34892645  0.093800534 -0.24861912 -0.045512667         21.31341
 [8,] -0.252456808 -0.0494806290 -0.14501563  0.008292037 -0.20714291 -0.202629603         27.43976
 [9,] -0.220918618  0.0619021060 -0.03658731 -0.164562732 -0.18563271  0.027704879         26.49021
[10,] -0.222632671  0.0105274248 -0.16542506 -0.019238525 -0.13227375 -0.065062217         31.00674
[11,] -0.133245587  0.0194954334  0.01497212 -0.164599655 -0.19674173 -0.115683242         26.00498
