
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[92]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[93]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[94]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[95]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[96]  1.422e-05 0.000e+00 0.000e+00      0.000e+00
hr[97]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[98]  2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[99]  1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[100] 4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[101] 4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[102] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[103] 6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[104] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[105] 2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[106] 1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[107] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[108] 1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[109] 1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[110] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[111] 2.671e-03 3.023e-03 2.468e-05      2.468e-05
hr[112] 6.726e-03 7.573e-03 6.183e-05      6.240e-05
hr[113] 2.941e-04 3.306e-04 2.699e-06      2.793e-06
hr[114] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[115] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[116] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[117] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[118] 1.422e-05 0.000e+00 0.000e+00      0.000e+00
hr[119] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[120] 2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[121] 1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[122] 4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[123] 4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[124] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[125] 6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[126] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[127] 2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[128] 1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[129] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[130] 1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[131] 1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[132] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[133] 2.742e-03 3.189e-03 2.604e-05      2.639e-05
hr[134] 6.513e-03 7.348e-03 6.000e-05      6.000e-05
hr[135] 3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[136] 1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[137] 7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[138] 4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[139] 1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[140] 3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[141] 9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[142] 4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[143] 6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[144] 9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[145] 1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[146] 1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[147] 1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[148] 3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[149] 8.334e-04 9.093e-04 7.425e-06      7.425e-06
hr[150] 2.209e-02 2.641e-02 2.156e-04      2.156e-04
hr[151] 2.882e-02 3.225e-02 2.633e-04      2.612e-04
hr[152] 4.831e-04 5.493e-04 4.485e-06      4.485e-06
hr[153] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[154] 1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[155] 7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[156] 4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[157] 1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[158] 3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[159] 9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[160] 4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[161] 6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[162] 9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[163] 1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[164] 1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[165] 1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[166] 3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[167] 8.268e-04 9.341e-04 7.627e-06      7.462e-06
hr[168] 2.186e-02 2.339e-02 1.910e-04      1.925e-04
hr[169] 2.959e-02 3.313e-02 2.705e-04      2.705e-04
hr[170] 4.825e-04 5.637e-04 4.602e-06      4.553e-06
hr[171] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[172] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[173] 2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[174] 1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[175] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[176] 1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[177] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[178] 2.749e-03 3.084e-03 2.518e-05      2.551e-05
hr[179] 1.003e-02 1.152e-02 9.402e-05      9.605e-05
hr[180] 3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[181] 1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[182] 7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[183] 4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[184] 1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[185] 3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[186] 9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[187] 4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[188] 6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[189] 9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[190] 1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[191] 1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[192] 1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[193] 3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[194] 8.232e-04 9.292e-04 7.587e-06      7.587e-06
hr[195] 2.226e-02 2.525e-02 2.062e-04      2.115e-04
hr[196] 2.908e-02 3.333e-02 2.722e-04      2.785e-04
hr[197] 4.778e-04 5.345e-04 4.364e-06      4.477e-06
hr[198] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[199] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[200] 2.759e-03 3.082e-03 2.516e-05      2.489e-05
hr[201] 9.821e-03 1.137e-02 9.287e-05      9.710e-05
hr[202] 3.911e-03 4.201e-03 3.430e-05      3.361e-05
hr[203] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[204] 8.120e-04 9.391e-04 7.668e-06      7.667e-06
hr[205] 2.184e-02 2.547e-02 2.080e-04      2.080e-04
hr[206] 2.939e-02 3.232e-02 2.639e-04      2.639e-04
hr[207] 4.880e-04 5.790e-04 4.727e-06      4.805e-06
hr[208] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[209] 1.212e+00 0.000e+00 0.000e+00      0.000e+00
hr[210] 8.462e-05 0.000e+00 0.000e+00      0.000e+00
hr[211] 3.416e-04 0.000e+00 0.000e+00      0.000e+00
hr[212] 1.212e+00 0.000e+00 0.000e+00      0.000e+00
hr[213] 8.462e-05 0.000e+00 0.000e+00      0.000e+00
hr[214] 3.416e-04 0.000e+00 0.000e+00      0.000e+00
hr[215] 1.212e+00 0.000e+00 0.000e+00      0.000e+00
hr[216] 8.462e-05 0.000e+00 0.000e+00      0.000e+00
hr[217] 3.416e-04 0.000e+00 0.000e+00      0.000e+00
hr[218] 2.737e-01 0.000e+00 0.000e+00      0.000e+00
