"","x"
"327",1.6e+07
"328",1.6e+07
"329",1.6e+07
"330",1.6e+07
"331",1.6e+07
"332",1.6e+07
"333",1.6e+07
"334",1.6e+07
"335",1.6e+07
"336",1.6e+07
"337",1.6e+07
"338",1.6e+07
"339",1.6e+07
"340",1.6e+07
"341",1.6e+07
"342",1.6e+07
"343",1.6e+07
"344",1.6e+07
"345",1.6e+07
"346",62473.2010625075
"347",223791.069634282
"348",54109.656107585
"349",1.6e+07
"350",1.6e+07
"351",1.6e+07
"352",1.6e+07
"353",1.6e+07
"354",1.6e+07
"355",1.6e+07
"356",1.6e+07
"357",1.6e+07
"358",1.6e+07
"359",1.6e+07
"360",1.6e+07
"361",1.6e+07
"362",1.6e+07
"363",1.6e+07
"364",1.6e+07
"365",1.6e+07
"366",1.6e+07
"367",1.6e+07
"368",1.6e+07
"369",1.6e+07
"370",1.6e+07
"371",1.6e+07
"372",1.6e+07
"373",1.6e+07
"374",1.6e+07
"375",1.6e+07
"376",1.6e+07
"377",1.6e+07
