cal.yr,Krill_biomass
1996,13227359.3195
1997,15493012.128999999
1998,8853325.861499999
1999,3404389.1009
2000,11305595.953
2001,2873463.28125
2002,1179450.91485
2003,6868583.359499999
2004,1158671.353915
2005,3703256.8696999997
2006,5801091.5879999995
2007,11510310.522
2008,13408386.4015
2009,8789371.959999999
2010,2032386.3900000001
2011,9046919.6368
