
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[92]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[93]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[94]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[95]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[96]  1.422e-05 0.000e+00 0.000e+00      0.000e+00
hr[97]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[98]  2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[99]  1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[100] 4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[101] 4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[102] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[103] 6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[104] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[105] 2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[106] 1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[107] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[108] 1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[109] 1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[110] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[111] 2.681e-03 2.969e-03 2.424e-05      2.424e-05
hr[112] 6.634e-03 7.719e-03 6.302e-05      6.329e-05
hr[113] 2.951e-04 3.294e-04 2.690e-06      2.782e-06
hr[114] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[115] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[116] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[117] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[118] 1.422e-05 0.000e+00 0.000e+00      0.000e+00
hr[119] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[120] 2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[121] 1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[122] 4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[123] 4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[124] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[125] 6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[126] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[127] 2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[128] 1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[129] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[130] 1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[131] 1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[132] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[133] 2.699e-03 3.033e-03 2.476e-05      2.476e-05
hr[134] 6.612e-03 7.690e-03 6.279e-05      6.227e-05
hr[135] 3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[136] 1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[137] 7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[138] 4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[139] 1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[140] 3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[141] 9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[142] 4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[143] 6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[144] 9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[145] 1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[146] 1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[147] 1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[148] 3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[149] 8.270e-04 9.209e-04 7.519e-06      7.498e-06
hr[150] 2.288e-02 2.653e-02 2.166e-04      2.274e-04
hr[151] 3.107e-02 3.525e-02 2.878e-04      2.898e-04
hr[152] 4.845e-04 5.456e-04 4.455e-06      4.455e-06
hr[153] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[154] 1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[155] 7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[156] 4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[157] 1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[158] 3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[159] 9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[160] 4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[161] 6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[162] 9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[163] 1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[164] 1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[165] 1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[166] 3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[167] 8.215e-04 9.362e-04 7.644e-06      7.709e-06
hr[168] 2.243e-02 2.523e-02 2.060e-04      2.106e-04
hr[169] 3.000e-02 3.409e-02 2.783e-04      2.783e-04
hr[170] 4.893e-04 5.568e-04 4.546e-06      4.487e-06
hr[171] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[172] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[173] 2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[174] 1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[175] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[176] 1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[177] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[178] 2.706e-03 3.016e-03 2.463e-05      2.455e-05
hr[179] 9.653e-03 1.068e-02 8.718e-05      8.516e-05
hr[180] 3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[181] 1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[182] 7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[183] 4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[184] 1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[185] 3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[186] 9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[187] 4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[188] 6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[189] 9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[190] 1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[191] 1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[192] 1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[193] 3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[194] 8.248e-04 9.773e-04 7.980e-06      7.980e-06
hr[195] 2.212e-02 2.437e-02 1.990e-04      1.971e-04
hr[196] 3.131e-02 3.702e-02 3.023e-04      3.023e-04
hr[197] 4.824e-04 5.597e-04 4.570e-06      4.467e-06
hr[198] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[199] 1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[200] 2.714e-03 3.120e-03 2.548e-05      2.548e-05
hr[201] 9.923e-03 1.160e-02 9.470e-05      9.662e-05
hr[202] 4.095e-03 4.741e-03 3.871e-05      3.875e-05
hr[203] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[204] 8.171e-04 9.111e-04 7.439e-06      7.640e-06
hr[205] 2.322e-02 2.756e-02 2.250e-04      2.250e-04
hr[206] 3.073e-02 3.581e-02 2.924e-04      2.941e-04
hr[207] 4.833e-04 5.416e-04 4.422e-06      4.576e-06
hr[208] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[209] 2.737e-01 0.000e+00 0.000e+00      0.000e+00
hr[210] 2.068e-01 0.000e+00 0.000e+00      0.000e+00
hr[211] 1.201e+00 0.000e+00 0.000e+00      0.000e+00
hr[212] 5.501e-02 0.000e+00 0.000e+00      0.000e+00
hr[213] 1.518e-02 0.000e+00 0.000e+00      0.000e+00
hr[214] 3.476e-01 0.000e+00 0.000e+00      0.000e+00
hr[215] 2.737e-01 0.000e+00 0.000e+00      0.000e+00
hr[216] 2.068e-01 0.000e+00 0.000e+00      0.000e+00
hr[217] 1.201e+00 0.000e+00 0.000e+00      0.000e+00

2. Quantiles for each variable:

             2.5%       25%       50%       75%     97.5%
